City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,29.09,61,20,4.12,TO,1678156053
1,ushuaia,-54.8,-68.3,4.81,87,40,4.12,AR,1678156027
2,hobyo,5.3505,48.5268,25.5,79,79,7.25,SO,1678156053
3,ribeira grande,38.5167,-28.7,16.54,89,18,8.49,PT,1678156054
4,rikitea,-23.1203,-134.9692,26.93,77,99,9.64,PF,1678156054
5,along,28.1667,94.7667,18.21,80,79,0.98,IN,1678156054
6,qaanaaq,77.484,-69.3632,-8.55,88,98,2.79,GL,1678156055
7,bubaque,11.2833,-15.8333,24.82,67,100,6.05,GW,1678156055
8,orotukan,62.2667,151.7,-23.76,90,100,1.52,RU,1678156055
9,nhulunbuy,-12.2333,136.7667,29.34,70,75,7.72,AU,1678156056
10,svelgen,61.7685,5.2955,-4.04,81,100,4.02,NO,1678156056
11,ariquemes,-9.9133,-63.0408,23.33,98,100,1.15,BR,1678156056
12,esperance,-33.8667,121.9,17.35,51,99,3.12,AU,1678156057
13,hilo,19.7297,-155.09,26.85,71,20,3.09,US,1678155975
14,antofagasta,-23.65,-70.4,22.6,80,45,1.95,CL,1678155995
15,bethel,41.3712,-73.414,6.93,34,0,2.57,US,1678156057
16,sao jose da coroa grande,-8.8978,-35.1478,26.0,81,100,3.55,BR,1678155795
17,dikson,73.5069,80.5464,-27.86,97,100,5.75,RU,1678156058
18,kevsala,45.7983,42.6903,-0.02,73,1,2.5,RU,1678156058
19,busselton,-33.65,115.3333,20.54,48,0,5.57,AU,1678156058
20,barrow,71.2906,-156.7887,-8.99,79,100,9.26,US,1678156059
21,albany,42.6001,-73.9662,2.23,49,91,4.21,US,1678156017
22,vanimo,-2.6741,141.3028,28.89,68,100,1.68,PG,1678156059
23,thunder bay,48.4001,-89.3168,-1.01,86,100,1.03,CA,1678155876
24,pisco,-13.7,-76.2167,23.03,83,0,3.09,PE,1678156060
25,chokurdakh,70.6333,147.9167,-35.68,98,98,1.83,RU,1678156060
26,butaritari,3.0707,172.7902,26.8,79,99,3.82,KI,1678156060
27,bumba,2.1833,22.4667,24.48,62,78,0.75,CD,1678156061
28,nouadhibou,20.931,-17.0347,20.99,56,15,6.69,MR,1678156061
29,mar del plata,-38.0023,-57.5575,24.49,81,0,4.12,AR,1678156061
30,anadyr,64.75,177.4833,-27.72,68,0,6.0,RU,1678156062
31,cape town,-33.9258,18.4232,19.23,70,20,7.6,ZA,1678155946
32,yellowknife,62.456,-114.3525,-23.58,70,20,3.09,CA,1678156062
33,punta arenas,-53.15,-70.9167,5.06,81,20,7.2,CL,1678155936
34,hobart,-42.8794,147.3294,18.92,49,75,14.92,AU,1678156063
35,victoria,22.2855,114.1577,22.76,54,7,5.36,HK,1678156010
36,damghan,36.1683,54.348,13.99,28,100,2.04,IR,1678156063
37,iqaluit,63.7506,-68.5145,-3.15,93,75,6.69,CA,1678156063
38,ponta do sol,32.6667,-17.1,19.84,91,36,2.53,PT,1678156064
39,atuona,-9.8,-139.0333,26.97,77,17,5.38,PF,1678156064
40,mizdah,31.4451,12.9801,14.18,22,96,0.47,LY,1678156065
41,kopargaon,19.8833,74.4833,20.85,61,100,5.01,IN,1678156065
42,la union,-5.4,-80.75,26.18,75,100,3.86,PE,1678155550
43,kapaa,22.0752,-159.319,25.99,62,100,5.66,US,1678156065
44,east london,-33.0153,27.9116,20.32,76,20,4.01,ZA,1678156066
45,lompoc,34.6391,-120.4579,11.08,78,20,3.6,US,1678155980
46,luderitz,-26.6481,15.1594,15.89,82,0,7.18,NA,1678156066
47,namatanai,-3.6667,152.4333,29.22,67,79,2.65,PG,1678156066
48,grenada,37.1882,-3.6067,11.06,95,75,1.03,ES,1678156067
49,chenghai,23.4632,116.768,19.95,40,0,1.0,CN,1678156067
50,burhar,23.2167,81.5333,20.62,32,6,1.63,IN,1678156067
51,nikolskoye,59.7035,30.7861,-6.79,98,96,1.37,RU,1678156068
52,bredasdorp,-34.5322,20.0403,17.88,76,98,5.76,ZA,1678156068
53,kamaishi,39.2667,141.8833,10.62,48,74,3.44,JP,1678156068
54,mataura,-46.1927,168.8643,21.93,29,27,1.78,NZ,1678156068
55,cherskiy,68.75,161.3,-27.67,89,8,0.59,RU,1678156069
56,avarua,-21.2078,-159.775,30.03,79,20,7.72,CK,1678155918
57,nemuro,43.3236,145.575,3.0,82,98,6.65,JP,1678156069
58,touros,-5.1989,-35.4608,26.38,77,79,5.74,BR,1678156070
59,nieuw amsterdam,5.8833,-55.0833,25.57,88,94,3.95,SR,1678156070
60,yar-sale,66.8333,70.8333,-27.51,94,14,4.36,RU,1678156070
61,manono,-7.3,27.4167,20.36,88,100,1.34,CD,1678156071
62,port alfred,-33.5906,26.891,17.88,95,83,1.34,ZA,1678156071
63,kaitangata,-46.2817,169.8464,18.88,54,84,3.73,NZ,1678156071
64,nadadores,27.05,-101.6,24.04,45,0,2.24,MX,1678156072
65,lebanon,36.2081,-86.2911,21.42,59,100,2.9,US,1678155628
66,paamiut,61.994,-49.6678,-4.56,79,7,2.05,GL,1678156072
67,chuy,-33.6971,-53.4616,22.4,89,75,5.16,UY,1678156072
68,aripuana,-9.1667,-60.6333,23.52,97,100,1.14,BR,1678156073
69,geraldton,-28.7667,114.6,31.23,22,0,4.12,AU,1678156073
70,porto torres,40.835,8.3972,10.1,80,10,3.29,IT,1678156073
